index,x0,y0,x1,y1,width,height
0,30,42,164,176,135,135
1,167,42,298,176,132,135
2,301,40,433,175,133,136
3,438,40,574,175,137,136
4,579,40,713,175,135,136
5,721,40,858,175,138,136
6,865,40,1000,175,136,136
7,1004,40,1138,175,135,136
8,1142,40,1278,175,137,136
9,1283,40,1418,175,136,136
10,30,182,159,302,130,121
11,167,182,294,302,128,121
12,301,182,430,302,130,121
13,438,182,568,301,131,120
14,578,182,710,301,133,120
15,721,182,855,301,135,120
16,865,182,996,301,132,120
17,1003,182,1134,301,132,120
18,1142,182,1273,301,132,120
19,1284,182,1416,302,133,121
20,29,310,68,421,40,112
21,72,310,160,421,89,112
22,166,310,205,421,40,112
23,206,310,295,421,90,112
24,301,310,340,421,40,112
25,344,310,432,421,89,112
26,438,310,478,421,41,112
27,480,310,569,421,90,112
28,575,310,615,421,41,112
29,621,310,709,421,89,112
30,721,309,761,420,41,112
31,767,307,856,420,90,114
32,865,310,905,420,41,111
33,908,309,996,420,89,112
34,1003,309,1042,420,40,112
35,1046,309,1135,420,90,112
36,1143,309,1183,420,41,112
37,1187,309,1276,420,90,112
38,1284,309,1323,420,40,112
39,1327,309,1415,420,89,112
40,28,443,193,608,166,166
41,197,443,360,608,164,166
42,364,452,611,601,248,150
43,617,452,861,602,245,151
44,865,452,1123,602,259,151
45,1127,481,1420,578,294,98
46,27,615,107,698,81,84
47,114,615,195,698,82,84
48,192,614,274,698,83,85
49,280,612,362,697,83,86
50,365,608,453,704,89,97
51,457,608,548,698,92,91
52,551,608,605,704,55,97
53,617,609,703,705,87,97
54,704,609,797,698,94,90
55,801,609,854,705,54,97
56,871,607,958,703,88,97
57,961,607,1061,699,101,93
58,1062,607,1114,705,53,99
59,1133,607,1222,704,90,98
60,1221,607,1348,687,128,81
61,1355,607,1407,704,53,98
62,60,726,193,857,134,132
63,220,725,358,857,139,133
64,392,726,531,859,140,134
65,562,725,704,857,143,133
66,738,726,878,859,141,134
67,913,725,1051,858,139,134
68,1087,725,1222,859,136,135
69,1252,725,1386,859,135,135
70,92,907,210,1024,119,118
71,248,907,367,1024,120,118
72,421,907,547,1024,127,118
73,624,874,776,1030,153,157
74,822,874,976,1031,155,158
75,1019,876,1176,1030,158,155
76,1216,875,1370,1030,155,156
