index,x0,y0,x1,y1,width,height
0,23,55,102,156,80,102
1,116,55,245,156,130,102
2,258,55,456,156,199,102
3,469,55,555,156,87,102
4,569,54,712,155,144,102
5,726,54,821,155,96,102
6,834,54,982,155,149,102
7,995,55,1081,156,87,102
8,1094,54,1182,155,89,102
9,1196,54,1425,155,230,102
10,22,172,123,292,102,121
11,140,173,238,293,99,121
12,251,174,356,293,106,120
13,373,172,490,293,118,122
14,502,176,600,287,99,112
15,609,174,698,287,90,114
16,714,176,821,287,108,112
17,840,174,938,287,99,114
18,954,176,1062,287,109,112
19,1071,174,1169,287,99,114
20,1184,176,1295,287,112,112
21,1313,174,1425,286,113,113
22,25,306,71,414,47,109
23,90,305,136,413,47,109
24,155,306,202,414,48,109
25,221,307,267,416,47,110
26,285,309,329,417,45,109
27,353,316,535,399,183,84
28,552,317,735,399,184,83
29,749,316,954,399,206,84
30,969,317,1176,399,208,83
31,1195,316,1425,399,231,84
32,21,421,98,528,78,108
33,107,423,271,529,165,107
34,281,423,414,529,134,107
35,426,421,571,528,146,108
36,583,421,806,528,224,108
37,817,421,972,530,156,110
38,986,423,1099,529,114,107
39,1113,421,1293,529,181,109
40,1305,423,1432,528,128,106
41,24,538,115,652,92,115
42,132,538,230,652,99,115
43,250,538,356,652,107,115
44,374,539,485,652,112,114
45,507,539,601,658,95,120
46,619,537,708,658,90,122
47,722,538,806,653,85,116
48,826,539,940,651,115,113
49,955,536,1092,651,138,116
50,1108,538,1252,652,145,115
51,1269,538,1425,652,157,115
52,21,693,145,768,125,76
53,156,673,297,768,142,96
54,313,673,455,767,143,95
55,473,673,594,767,122,95
56,610,673,734,767,125,95
57,749,670,880,781,132,112
58,891,670,1028,782,138,113
59,1047,667,1210,778,164,112
60,1231,666,1426,781,196,116
61,22,781,177,905,156,125
62,187,781,464,907,278,127
63,476,781,726,896,251,116
64,736,786,859,902,124,117
65,868,788,1055,904,188,117
66,1069,783,1275,906,207,124
67,1285,786,1429,904,145,119
68,29,909,85,1037,57,129
69,114,911,173,1038,60,128
70,201,911,258,1037,58,127
71,289,911,346,1039,58,129
72,373,911,430,1039,58,129
73,451,913,571,1035,121,123
74,590,911,684,1035,95,125
75,698,910,790,1035,93,126
76,817,911,1049,1038,233,128
77,1068,921,1175,1032,108,112
78,1195,920,1286,1032,92,113
79,1309,921,1419,1032,111,112
